[width=0.5] parameter CRNN: 2,476,542  + AuxDecoder (training-only): 1,893,472  device: cuda
[width=0.5] epoch 85/120  lr=2.12e-04  ctc_loss=0.0002  aux_loss=0.9428  val_cer=0.0449  val_wer=0.0959  val_exact=0.7000  (4110s elapsed)
[width=0.5] epoch 86/120  lr=2.01e-04  ctc_loss=0.0002  aux_loss=0.9407  val_cer=0.0381  val_wer=0.0845  val_exact=0.7167  (4155s elapsed)
[width=0.5] epoch 87/120  lr=1.90e-04  ctc_loss=0.0002  aux_loss=0.9422  val_cer=0.0395  val_wer=0.0885  val_exact=0.7125  (4201s elapsed)
[width=0.5] epoch 88/120  lr=1.79e-04  ctc_loss=0.0002  aux_loss=0.9397  val_cer=0.0423  val_wer=0.0926  val_exact=0.7083  (4245s elapsed)
[width=0.5] epoch 89/120  lr=1.69e-04  ctc_loss=0.0002  aux_loss=0.9387  val_cer=0.0412  val_wer=0.0921  val_exact=0.7000  (4288s elapsed)
[width=0.5] epoch 90/120  lr=1.59e-04  ctc_loss=0.0002  aux_loss=0.9388  val_cer=0.0431  val_wer=0.0951  val_exact=0.7000  (4332s elapsed)
[width=0.5] epoch 91/120  lr=1.49e-04  ctc_loss=0.0001  aux_loss=0.9384  val_cer=0.0400  val_wer=0.0885  val_exact=0.7125  (4376s elapsed)
[width=0.5] epoch 92/120  lr=1.39e-04  ctc_loss=0.0001  aux_loss=0.9379  val_cer=0.0412  val_wer=0.0912  val_exact=0.7083  (4420s elapsed)
[width=0.5] epoch 93/120  lr=1.30e-04  ctc_loss=0.0001  aux_loss=0.9357  val_cer=0.0421  val_wer=0.0931  val_exact=0.7042  (4466s elapsed)
[width=0.5] epoch 94/120  lr=1.21e-04  ctc_loss=0.0001  aux_loss=0.9359  val_cer=0.0450  val_wer=0.0999  val_exact=0.7000  (4511s elapsed)
[width=0.5] epoch 95/120  lr=1.12e-04  ctc_loss=0.0001  aux_loss=0.9335  val_cer=0.0402  val_wer=0.0913  val_exact=0.7083  (4558s elapsed)
[width=0.5] epoch 96/120  lr=1.04e-04  ctc_loss=0.0001  aux_loss=0.9339  val_cer=0.0417  val_wer=0.0924  val_exact=0.7125  (4602s elapsed)
[width=0.5] epoch 97/120  lr=9.55e-05  ctc_loss=0.0001  aux_loss=0.9336  val_cer=0.0471  val_wer=0.0983  val_exact=0.7000  (4646s elapsed)
[width=0.5] epoch 98/120  lr=8.76e-05  ctc_loss=0.0001  aux_loss=0.9326  val_cer=0.0479  val_wer=0.1060  val_exact=0.6833  (4691s elapsed)
[width=0.5] epoch 99/120  lr=8.00e-05  ctc_loss=0.0002  aux_loss=0.9324  val_cer=0.0469  val_wer=0.1031  val_exact=0.6917  (4737s elapsed)
[width=0.5] epoch 100/120  lr=7.28e-05  ctc_loss=0.0001  aux_loss=0.9304  val_cer=0.0455  val_wer=0.1008  val_exact=0.6917  (4782s elapsed)
[width=0.5] epoch 101/120  lr=6.59e-05  ctc_loss=0.0001  aux_loss=0.9301  val_cer=0.0496  val_wer=0.1046  val_exact=0.6917  (4827s elapsed)
[width=0.5] epoch 102/120  lr=5.92e-05  ctc_loss=0.0001  aux_loss=0.9300  val_cer=0.0478  val_wer=0.1056  val_exact=0.6833  (4873s elapsed)
[width=0.5] epoch 103/120  lr=5.30e-05  ctc_loss=0.0001  aux_loss=0.9295  val_cer=0.0458  val_wer=0.0974  val_exact=0.6958  (4917s elapsed)
[width=0.5] epoch 104/120  lr=4.70e-05  ctc_loss=0.0001  aux_loss=0.9296  val_cer=0.0478  val_wer=0.1068  val_exact=0.6875  (4960s elapsed)
[width=0.5] epoch 105/120  lr=4.14e-05  ctc_loss=0.0001  aux_loss=0.9285  val_cer=0.0478  val_wer=0.1055  val_exact=0.6875  (5004s elapsed)
[width=0.5] epoch 106/120  lr=3.61e-05  ctc_loss=0.0001  aux_loss=0.9281  val_cer=0.0477  val_wer=0.1063  val_exact=0.6833  (5050s elapsed)
[width=0.5] epoch 107/120  lr=3.12e-05  ctc_loss=0.0001  aux_loss=0.9277  val_cer=0.0480  val_wer=0.1072  val_exact=0.6833  (5096s elapsed)
[width=0.5] epoch 108/120  lr=2.66e-05  ctc_loss=0.0001  aux_loss=0.9280  val_cer=0.0480  val_wer=0.1072  val_exact=0.6833  (5141s elapsed)
[width=0.5] epoch 109/120  lr=2.24e-05  ctc_loss=0.0001  aux_loss=0.9270  val_cer=0.0478  val_wer=0.1068  val_exact=0.6833  (5187s elapsed)
[width=0.5] epoch 110/120  lr=1.85e-05  ctc_loss=0.0001  aux_loss=0.9273  val_cer=0.0453  val_wer=0.1001  val_exact=0.6958  (5232s elapsed)
[width=0.5] epoch 111/120  lr=1.50e-05  ctc_loss=0.0001  aux_loss=0.9273  val_cer=0.0476  val_wer=0.1051  val_exact=0.6917  (5278s elapsed)
[width=0.5] epoch 112/120  lr=1.19e-05  ctc_loss=0.0001  aux_loss=0.9259  val_cer=0.0496  val_wer=0.1093  val_exact=0.6833  (5321s elapsed)
[width=0.5] epoch 113/120  lr=9.11e-06  ctc_loss=0.0001  aux_loss=0.9272  val_cer=0.0479  val_wer=0.1059  val_exact=0.6875  (5366s elapsed)
[width=0.5] epoch 114/120  lr=6.70e-06  ctc_loss=0.0001  aux_loss=0.9265  val_cer=0.0497  val_wer=0.1097  val_exact=0.6833  (5414s elapsed)
[width=0.5] epoch 115/120  lr=4.66e-06  ctc_loss=0.0001  aux_loss=0.9258  val_cer=0.0476  val_wer=0.1056  val_exact=0.6875  (5457s elapsed)
[width=0.5] epoch 116/120  lr=2.98e-06  ctc_loss=0.0001  aux_loss=0.9262  val_cer=0.0475  val_wer=0.1051  val_exact=0.6875  (5502s elapsed)
[width=0.5] epoch 117/120  lr=1.68e-06  ctc_loss=0.0001  aux_loss=0.9266  val_cer=0.0472  val_wer=0.1042  val_exact=0.6875  (5548s elapsed)
[width=0.5] epoch 118/120  lr=7.46e-07  ctc_loss=0.0001  aux_loss=0.9267  val_cer=0.0479  val_wer=0.1059  val_exact=0.6875  (5593s elapsed)
[width=0.5] epoch 119/120  lr=1.87e-07  ctc_loss=0.0001  aux_loss=0.9260  val_cer=0.0479  val_wer=0.1059  val_exact=0.6875  (5638s elapsed)
[width=0.5] epoch 120/120  lr=0.00e+00  ctc_loss=0.0001  aux_loss=0.9260  val_cer=0.0476  val_wer=0.1056  val_exact=0.6875  (5682s elapsed)
[width=0.5] selesai. Best val CER: 0.0372 -> C:\Users\Unpad-hci\CNN-RNN-CTC-Architecture-OCR-Sequential-Sundanese-script-text\training\checkpoints\crnn_w0.50_v3aug_best.pt
[width=0.5] TEST: cer=0.0655 wer=0.1538 exact=0.6008 (n=243)
